article_id;headline;sentiment_Human_final;sentiment_GPT4_A;sentiment_GPT4_B;sentiment_GPT4_C;sentiment_GPT4_D;sentiment_GPT4_E;sentiment_GPT4_F;sentiment_GPT4_G;sentiment_GPT4_H;sentiment_GPT4_Majority;sentiment_GPT4_score
02dcb8cb079fe6bf93b3855762205be5be8f5b48d9f3cd25ad5c30a4c369799b;Google says its quantum computer is more than 100 million times faster than a regular computer chip;2;2;2;2;2;2;2;2;2;2;1
03757a5a3fa20fadf5a935d1415cf4f413258347a8d62d7fc3a9467ac48786a0;Aliens Could Be Using Quantum Communications to Talk Across Interstellar Space;1;1;1;1;1;1;1;1;1;1;0,5
04d0b5f99f47b05b52e2bc1a76cb676dac025415f29e096a0ab31d3eb279d1d0;Researchers teleport information within a diamond;1;2;2;2;2;2;2;2;2;2;1
04e35243dba48f516aab2258ae8b4a0c138ffa820cb2b865adc59266909109a1;Oxford Physicist Unloads on Quantum Computing Industry, Says It's Basically a Hype Bubble;0;0;0;0;0;0;0;0;0;0;0
06399c5b4ab1a5472f8b503f64dcdd4c780bf8a06c73629571dafe49243a694d;Experiment confirms quantum theory weirdness;1;1;1;1;1;1;1;1;1;1;0,5
09c00dfab63ed58c4b3fb2027d11b33257a221cfe256ab78f73108b60375f009;New invention keeps qubits of light stable at room temperature;1;2;2;2;2;2;2;2;2;2;1
0a36598418fef43301f9a364903b8e2523d34619b10c28b23f506fb457455fdb;NIST Quantum Refrigerator Offers Extreme Cooling and Convenience;2;2;2;2;2;2;2;2;2;2;1
0b2c7fbc152b3e9d3a52714b4970912f238562d485080f628032be3c76266761;Study Confirms: Global Quantum Internet Really Is Possible;1;2;2;2;2;2;2;2;2;2;1
0ba5397aa7e55a3599693501b77e8f8658d0306f88bc26e4433655ecb2e9896e;Large-scale quantum chip validated;1;2;2;2;2;2;2;2;2;2;1
0bcc1e323e41ebf61d76b7695132dabca1a6089eaf7aeb17cdbb937a6c547c49;The case against dark matter;1;1;1;1;1;1;1;1;1;1;0,5
0bd49370ee2c42be2cd8441bac2013ba14781aee228ddf96894bcd9a41ee6a88;Google Unveils 72-Qubit Quantum Computer With Low Error Rates;1;2;2;2;2;2;2;2;2;2;1
0c460d4fe2ccaf02a8ebb7f2781068508d6a1464195113843415b9e7e95b83d7;Physicists Got a Quantum Computer to Work by Blasting It With the Fibonacci Sequence;1;1;1;1;1;1;2;1;2;1;0,625
0dd45a56bdab6a6e4e45f49580dce6a1132ca5112ec93e557ecb479247e8b11e;Trapping the Tiniest Sound;1;1;1;1;1;1;1;1;1;1;0,5
0deea3506c00dd4a4d67a8411123c2d0e7053620ef64df1a5cf01e3d6272b5d0;Scientists discover way to make quantum states last 10,000 times longer;2;2;2;2;2;2;2;2;2;2;1
0e2c511268f9d5f0e1d3449da52a048a8fdc7b62e2dde7f005e91eba5787d508;Quantum tunneling in graphene advances the age of terahertz wireless communications;2;2;2;2;2;2;2;2;2;2;1
105be516af6ed91a2be61dedadc92fa90235680ccc4e00fa3276d836f586e6e1;Scientists calculate absolute quantum speed limit for electronics;1;1;2;2;1;1;2;2;1;~;0,75
117685caa073514fe73c350dabff4803f174fc7a2824050dfa35006b5dbc738a;Your brain might be a quantum computer that hallucinates math;1;1;1;1;1;1;1;1;1;1;0,5
